,CODE,Port,Country,latitude,longitude
246,ARRSA,SANTA ROSA,ARGENTINA,,
247,ARRYO,RIO TURBIO,ARGENTINA,,
248,ARRZA,SANTA CRUZ,ARGENTINA,,
249,ARSAE,SAN ANTONIO ESTE,ARGENTINA,,
250,ARSDE,SANTIAGO DEL ESTERO,ARGENTINA,,
251,ARSFE,SAN FERNANDO,ARGENTINA,,
252,ARSFN,SANTA FE,ARGENTINA,-31.65,-60.7
253,ARSGV,SIERRA GRANDE,ARGENTINA,,
254,ARSLA,SALTA,ARGENTINA,,
255,ARSLO,SAN LORENZO,ARGENTINA,,
256,ARSNS,SAN NICOLAS DE LOS L,ARGENTINA,,
257,ARSSN,SAN SEBASTIAN,ARGENTINA,,
258,ARSST,SANTA TERESITA,ARGENTINA,,
259,ARSZQ,SAENZ PENA,ARGENTINA,,
260,ARTDL,TANDIL,ARGENTINA,,
261,ARTTG,TARTAGAL,ARGENTINA,,
262,ARTUC,TUCUMAN,ARGENTINA,,
263,ARUAQ,SAN JUAN,ARGENTINA,,
264,ARULA,SAN JULIAN,ARGENTINA,,
265,ARUSH,USHUAIA,ARGENTINA,-54.81666666666667,-68.3
266,ARUZU,CURUZU CUATIA,ARGENTINA,,
267,ARVCF,VALCHETA,ARGENTINA,,
268,ARVCN,VILLA CONSTITUCION,ARGENTINA,,
269,ARVDM,VIEDMA,ARGENTINA,,
270,ARVDR,VILLA DOLORES,ARGENTINA,,
271,ARVGS,GENERAL VILLEGAS,ARGENTINA,,
272,ARVLG,VILLA GESELL,ARGENTINA,,
273,ARVME,VILLA MERCEDES,ARGENTINA,,
274,ARXMV,PICHANAL,ARGENTINA,,
275,ARXMX,LEDESMA,ARGENTINA,,
276,ARXOS,MOSCONI,ARGENTINA,,
277,ARXPD,SAN PEDRO,ARGENTINA,,
278,ARZAE,ZARATE,ARGENTINA,,
279,ARZAI,EMBARCACION,ARGENTINA,,
280,ASFTI,FITIUTA,AMERICAN SAMOA,,
281,ASOFU,OFU,AMERICAN SAMOA,,
282,ASPPG,PAGO PAGO,AMERICAN SAMOA,-14.283333333333333,170.68333333333334
283,ASTAV,TAU,AMERICAN SAMOA,,
284,ATAHN,ANTIESENHOFEN,AUSTRIA,,
285,ATAMK,ALTENMARKT,AUSTRIA,,
286,ATANF,ANIF,AUSTRIA,,
287,ATANT,ST ANTON,AUSTRIA,,
288,ATASP,ASPERN,AUSTRIA,,
289,ATATT,AMSTETTEN,AUSTRIA,,
290,ATBKL,BRUCK AN DER LEITHA,AUSTRIA,,
291,ATBRA,BRAUNAU,AUSTRIA,,
292,ATBRU,BRUCK AN DER MUR,AUSTRIA,,
293,ATBRZ,BREGENZ,AUSTRIA,,
294,ATEFR,EFERDING,AUSTRIA,,
295,ATENA,ENNS,AUSTRIA,,
296,ATEUH,EURENHAUSEN,AUSTRIA,,
297,ATFKT,FELDKIRCH-TOSTERS,AUSTRIA,,
298,ATFLH,FERLACH,AUSTRIA,,
299,ATFLT,FROHNLEITEN,AUSTRIA,,
300,ATFRN,FRANKENMARKT,AUSTRIA,,
301,ATFST,FEISTRITZ,AUSTRIA,,
302,ATFUR,FURNITZ,AUSTRIA,,
303,ATGAN,GARSTEN,AUSTRIA,,
304,ATGNR,GEINBERG,AUSTRIA,,
305,ATGPF,GROSSPETERSDORF,AUSTRIA,,
306,ATGRU,GROSS ST FLORIAN,AUSTRIA,,
307,ATGRZ,GRAZ,AUSTRIA,,
308,ATGSD,GLEISDORF,AUSTRIA,,
309,ATHAD,HAID,AUSTRIA,,
310,ATHAL,HALL,AUSTRIA,,
311,ATHIR,HIRSCHEGG,AUSTRIA,,
312,ATHLL,HALLEIN,AUSTRIA,,
313,ATHMG,HERMAGOR,AUSTRIA,,
314,ATHOH,HOHENEMS,AUSTRIA,,
315,ATHRD,HARD,AUSTRIA,,
316,ATHRH,HÖRSCHING,AUSTRIA,,
317,ATHSN,HANSENHÜTTE,AUSTRIA,,
318,ATHST,HÖCHST,AUSTRIA,,
319,ATHTA,HARTBERG,AUSTRIA,,
320,ATINN,INNSBRUCK,AUSTRIA,,
321,ATJDN,JUDENBURG,AUSTRIA,,
322,ATJUN,JUNGHOLZ,AUSTRIA,,
323,ATKBG,KORNEUBURG,AUSTRIA,,
324,ATKDF,KALSDORF,AUSTRIA,,
325,ATKDM,KRAUBATH AN DER MUR,AUSTRIA,,
326,ATKEF,KOFLACH,AUSTRIA,,
327,ATKFB,KAPFENBERG,AUSTRIA,,
328,ATKFS,KUFSTEIN,AUSTRIA,,
329,ATKLD,KRÖLLENDORF,AUSTRIA,,
330,ATKLU,KLAGENFURT,AUSTRIA,,
331,ATKMG,KEMATING,AUSTRIA,,
332,ATKMS,KREMSMÜNSTER,AUSTRIA,,
333,ATKNB,KENNELBACH,AUSTRIA,,
334,ATKRE,KREMS,AUSTRIA,,
335,ATKYB,KEMATEN YBBS,AUSTRIA,,
336,ATLCU,LOCHAU,AUSTRIA,,
337,ATLEZ,LIENZ,AUSTRIA,,
338,ATLFD,LÄNGENFELD,AUSTRIA,,
339,ATLMB,LAMBACH,AUSTRIA,,
340,ATLNZ,LINZ,AUSTRIA,,
341,ATLOE,LÖBENDORF,AUSTRIA,,
342,ATLTN,LUSTENAU,AUSTRIA,,
343,ATLUT,LAUTERACH,AUSTRIA,,
344,ATLZG,LENZING,AUSTRIA,,
345,ATLZN,LIEZEN,AUSTRIA,,
346,ATMDR,MADER,AUSTRIA,,
347,ATMEL,MELK,AUSTRIA,,
348,ATMHK,MAUERKIRCHEN,AUSTRIA,,
349,ATMIK,MIKLAUZHOF,AUSTRIA,,
350,ATMIT,MITTELBERG,AUSTRIA,,
351,ATMLS,MITTERSILL,AUSTRIA,,
352,ATMSD,MESSENDORF (?) METTE,AUSTRIA,,
353,ATMTH,MATTIGHOFEN,AUSTRIA,,
354,ATMZZ,MUERZZUSCHLAG,AUSTRIA,,
355,ATNUA,NEUDAU,AUSTRIA,,
356,ATOAL,ONEAL,AUSTRIA,,
357,ATOHD,OBDACH,AUSTRIA,,
358,ATOWT,OBERWART,AUSTRIA,,
359,ATPDF,PARNDORF,AUSTRIA,,
